Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent Task,Blocked By (Dependencies),Blocking (Dependencies), Task Progression,Responsible Party,Priority
1204198612204775,2023-03-16,,2023-03-16,ONLY CONTINUE WITH INSTALL IF READINESS CHECK HAS BEEN COMPLETED,Pre-Installation Network Checks,,,,,,,AWS Cloud Stacks Installation Checklist,,,,,Field Engineer,
1204198612204783,2023-03-16,,2023-03-24,Has the Field Engineer reconfirmed with the client that nothing has changed in the networking setup?,Pre-Installation Network Checks,,,,,,,AWS Cloud Stacks Installation Checklist,,,,Not Started,Field Engineer,
1204262275254461,2023-03-24,,2023-03-24,Reference the information gathered during the Installation Readiness Review,,,,,,,,,Has the Field Engineer reconfirmed with the client that nothing has changed in the networking setup?,,,,,
1204198612204791,2023-03-16,,2023-03-16,Have the VPC and Subnet CIDR's been validated?,Pre-Installation Network Checks,,,,,,,AWS Cloud Stacks Installation Checklist,,,,,Field Engineer,
1204198612455840,2023-03-16,,2023-03-24,Identify which of the validated Subnets Fleet Manager will be deployed in,Pre-Installation Network Checks,,,,,,,AWS Cloud Stacks Installation Checklist,,,,,Field Engineer,
1204198612455848,2023-03-16,,2023-03-16,Ensure outbound/inbound internet access is available for the entirety of the installation,Pre-Installation Network Checks,,,,,,,AWS Cloud Stacks Installation Checklist,,,,,Field Engineer,
1204198510644535,2023-03-16,,2023-03-16,Does the DSS Role have AmazonEC2FullAccess? ,DSS IAM Role Confirmation (applicable if client didn't have available at Readiness Check),,,,,,,AWS Cloud Stacks Installation Checklist,,,,,,
1204198515804848,2023-03-16,,2023-03-16,Does the DSS Role have AWSCloudFormationFullAccess?,DSS IAM Role Confirmation (applicable if client didn't have available at Readiness Check),,,,,,,AWS Cloud Stacks Installation Checklist,,,,,,
1204198515804856,2023-03-16,,2023-03-16,Has the AWS account ID been replaced in all sections of the Inline policy?,DSS IAM Role Confirmation (applicable if client didn't have available at Readiness Check),,,,,,,AWS Cloud Stacks Installation Checklist,,,,,,
1204198515804864,2023-03-16,,2023-03-16,Is the Inline policy correct? Have there been any additions or subtractions?,DSS IAM Role Confirmation (applicable if client didn't have available at Readiness Check),,,,,,,AWS Cloud Stacks Installation Checklist,,,,,,
